noc,competitors,bronze,gold,silver,medals,medal_ratio,fail_ratio,blewed_chances
SUD,98,0.0,0.0,1.0,1.0,0.01020408163265306,0.9897959183673469,97.0
PER,442,0.0,1.0,3.0,4.0,0.00904977375565611,0.9909502262443439,438.0
GUY,116,1.0,0.0,0.0,1.0,0.008620689655172414,0.9913793103448276,115.0
PAR,116,0.0,0.0,1.0,1.0,0.008620689655172414,0.9913793103448276,115.0
MRI,133,1.0,0.0,0.0,1.0,0.007518796992481203,0.9924812030075187,132.0
IRQ,150,1.0,0.0,0.0,1.0,0.006666666666666667,0.9933333333333333,149.0
CYP,192,0.0,0.0,1.0,1.0,0.005208333333333333,0.9947916666666666,191.0
BAR,199,1.0,0.0,0.0,1.0,0.005025125628140704,0.9949748743718593,198.0
ISV,215,0.0,0.0,1.0,1.0,0.004651162790697674,0.9953488372093023,214.0
SEN,275,0.0,0.0,1.0,1.0,0.0036363636363636364,0.9963636363636363,274.0
GUA,365,0.0,0.0,1.0,1.0,0.0027397260273972603,0.9972602739726028,364.0
LUX,776,0.0,1.0,1.0,2.0,0.002577319587628866,0.9974226804123711,774.0
ESA,200,0.0,0.0,0.0,0.0,0.0,1.0,200.0
ANG,133,0.0,0.0,0.0,0.0,0.0,1.0,133.0
MON,130,0.0,0.0,0.0,0.0,0.0,1.0,130.0
BOL,127,0.0,0.0,0.0,0.0,0.0,1.0,127.0
HON,124,0.0,0.0,0.0,0.0,0.0,1.0,124.0
MAD,119,0.0,0.0,0.0,0.0,0.0,1.0,119.0
NCA,119,0.0,0.0,0.0,0.0,0.0,1.0,119.0
SEY,110,0.0,0.0,0.0,0.0,0.0,1.0,110.0
PNG,109,0.0,0.0,0.0,0.0,0.0,1.0,109.0
ANT,106,0.0,0.0,0.0,0.0,0.0,1.0,106.0
GUM,104,0.0,0.0,0.0,0.0,0.0,1.0,104.0
MYA,104,0.0,0.0,0.0,0.0,0.0,1.0,104.0
LIE,103,0.0,0.0,0.0,0.0,0.0,1.0,103.0
MLT,101,0.0,0.0,0.0,0.0,0.0,1.0,101.0
NEP,95,0.0,0.0,0.0,0.0,0.0,1.0,95.0
SLE,95,0.0,0.0,0.0,0.0,0.0,1.0,95.0
MAW,86,0.0,0.0,0.0,0.0,0.0,1.0,86.0
CGO,85,0.0,0.0,0.0,0.0,0.0,1.0,85.0
BIH,81,0.0,0.0,0.0,0.0,0.0,1.0,81.0
COD,81,0.0,0.0,0.0,0.0,0.0,1.0,81.0
LBA,80,0.0,0.0,0.0,0.0,0.0,1.0,80.0
LBR,80,0.0,0.0,0.0,0.0,0.0,1.0,80.0
CAY,74,0.0,0.0,0.0,0.0,0.0,1.0,74.0
SAA,74,0.0,0.0,0.0,0.0,0.0,1.0,74.0
ALB,73,0.0,0.0,0.0,0.0,0.0,1.0,73.0
BEN,73,0.0,0.0,0.0,0.0,0.0,1.0,73.0
SWZ,73,0.0,0.0,0.0,0.0,0.0,1.0,73.0
MLI,70,0.0,0.0,0.0,0.0,0.0,1.0,70.0
BIZ,69,0.0,0.0,0.0,0.0,0.0,1.0,69.0
GUI,64,0.0,0.0,0.0,0.0,0.0,1.0,64.0
OMA,63,0.0,0.0,0.0,0.0,0.0,1.0,63.0
LES,62,0.0,0.0,0.0,0.0,0.0,1.0,62.0
RWA,61,0.0,0.0,0.0,0.0,0.0,1.0,61.0
CAM,59,0.0,0.0,0.0,0.0,0.0,1.0,59.0
VNM,58,0.0,0.0,0.0,0.0,0.0,1.0,58.0
BAN,57,0.0,0.0,0.0,0.0,0.0,1.0,57.0
CAF,57,0.0,0.0,0.0,0.0,0.0,1.0,57.0
LAO,56,0.0,0.0,0.0,0.0,0.0,1.0,56.0
AND,54,0.0,0.0,0.0,0.0,0.0,1.0,54.0
COK,51,0.0,0.0,0.0,0.0,0.0,1.0,51.0
GAM,49,0.0,0.0,0.0,0.0,0.0,1.0,49.0
CHA,47,0.0,0.0,0.0,0.0,0.0,1.0,47.0
MDV,47,0.0,0.0,0.0,0.0,0.0,1.0,47.0
ARU,44,0.0,0.0,0.0,0.0,0.0,1.0,44.0
GEQ,42,0.0,0.0,0.0,0.0,0.0,1.0,42.0
VAN,41,0.0,0.0,0.0,0.0,0.0,1.0,41.0
ASA,40,0.0,0.0,0.0,0.0,0.0,1.0,40.0
EOR,40,0.0,0.0,0.0,0.0,0.0,1.0,40.0
VIN,40,0.0,0.0,0.0,0.0,0.0,1.0,40.0
YEM,40,0.0,0.0,0.0,0.0,0.0,1.0,40.0
SOM,37,0.0,0.0,0.0,0.0,0.0,1.0,37.0
BHU,34,0.0,0.0,0.0,0.0,0.0,1.0,34.0
MAL,34,0.0,0.0,0.0,0.0,0.0,1.0,34.0
IVB,32,0.0,0.0,0.0,0.0,0.0,1.0,32.0
SOL,32,0.0,0.0,0.0,0.0,0.0,1.0,32.0
LCA,31,0.0,0.0,0.0,0.0,0.0,1.0,31.0
MTN,31,0.0,0.0,0.0,0.0,0.0,1.0,31.0
SKN,30,0.0,0.0,0.0,0.0,0.0,1.0,30.0
FSM,29,0.0,0.0,0.0,0.0,0.0,1.0,29.0
PLW,28,0.0,0.0,0.0,0.0,0.0,1.0,28.0
PLE,26,0.0,0.0,0.0,0.0,0.0,1.0,26.0
GBS,25,0.0,0.0,0.0,0.0,0.0,1.0,25.0
CPV,24,0.0,0.0,0.0,0.0,0.0,1.0,24.0
COM,22,0.0,0.0,0.0,0.0,0.0,1.0,22.0
RHO,22,0.0,0.0,0.0,0.0,0.0,1.0,22.0
DMA,20,0.0,0.0,0.0,0.0,0.0,1.0,20.0
STP,19,0.0,0.0,0.0,0.0,0.0,1.0,19.0
MHL,16,0.0,0.0,0.0,0.0,0.0,1.0,16.0
NRU,16,0.0,0.0,0.0,0.0,0.0,1.0,16.0
KIR,14,0.0,0.0,0.0,0.0,0.0,1.0,14.0
BRU,12,0.0,0.0,0.0,0.0,0.0,1.0,12.0
TLS,12,0.0,0.0,0.0,0.0,0.0,1.0,12.0
YAR,12,0.0,0.0,0.0,0.0,0.0,1.0,12.0
TUV,9,0.0,0.0,0.0,0.0,0.0,1.0,9.0
SSD,5,0.0,0.0,0.0,0.0,0.0,1.0,5.0
YMD,5,0.0,0.0,0.0,0.0,0.0,1.0,5.0
NBO,3,0.0,0.0,0.0,0.0,0.0,1.0,3.0
CHI ,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
